county,state,sab,fips,per_dem,per_gop
Autauga,Alabama,AL,1001,0.23956854953200002,0.734357893029
Baldwin,Alabama,AL,1003,0.195653098098,0.773514719949
Barbour,Alabama,AL,1005,0.466602502406,0.522714148219
Bibb,Alabama,AL,1007,0.214220393233,0.769661636946
Blount,Alabama,AL,1009,0.08469902300660001,0.8985187519700001
Bullock,Alabama,AL,1011,0.750904062965,0.242288874708
Butler,Alabama,AL,1013,0.427864133564,0.563154864709
Calhoun,Alabama,AL,1015,0.278558763931,0.6923969942589999
Chambers,Alabama,AL,1017,0.418275511685,0.5663376397150001
Cherokee,Alabama,AL,1019,0.14510139960000001,0.838712748738
Chilton,Alabama,AL,1021,0.159353601753,0.825417693783
Choctaw,Alabama,AL,1023,0.427765547606,0.5643918547060001
Clarke,Alabama,AL,1025,0.441558441558,0.549551638837
Clay,Alabama,AL,1027,0.187766281193,0.7958003651860001
Cleburne,Alabama,AL,1029,0.10471524801000001,0.878444580527
Coffee,Alabama,AL,1031,0.204455711013,0.771461999708
Colbert,Alabama,AL,1033,0.2962722326,0.678875984732
Conecuh,Alabama,AL,1035,0.469050894085,0.521626165368
Coosa,Alabama,AL,1037,0.340800306337,0.646371816963
Covington,Alabama,AL,1039,0.15039828044,0.835883171071
Crenshaw,Alabama,AL,1041,0.265994881638,0.7215291106849999
Cullman,Alabama,AL,1043,0.100059016042,0.878105048554
Dale,Alabama,AL,1045,0.236772842026,0.741150561315
Dallas,Alabama,AL,1047,0.684783769354,0.30880939669
Elmore,Alabama,AL,1051,0.228586912343,0.748380978187
Escambia,Alabama,AL,1053,0.308814829422,0.6758693222900001
Etowah,Alabama,AL,1055,0.238073331186,0.739108432626
Fayette,Alabama,AL,1057,0.165690580771,0.818081991215
Franklin,Alabama,AL,1059,0.183772480134,0.7918025930570001
Geneva,Alabama,AL,1061,0.13054292821,0.854876061412
Greene,Alabama,AL,1063,0.8239407651170001,0.17235705471
Hale,Alabama,AL,1065,0.595755305868,0.39600499375799997
Henry,Alabama,AL,1067,0.285144068854,0.701384557815
Houston,Alabama,AL,1069,0.250939804901,0.727266238401
Jackson,Alabama,AL,1071,0.17623286023600002,0.800721674284
Jefferson,Alabama,AL,1073,0.522493114704,0.450220777564
Lamar,Alabama,AL,1075,0.14932910114,0.839561390853
Lauderdale,Alabama,AL,1077,0.254476592894,0.714580166439
Lawrence,Alabama,AL,1079,0.246939752445,0.733912329891
Lee,Alabama,AL,1081,0.363928001665,0.595148089062
Limestone,Alabama,AL,1083,0.237055837563,0.731573604061
Lowndes,Alabama,AL,1085,0.731276213301,0.262282804074
Macon,Alabama,AL,1087,0.82727480567,0.159350708733
Madison,Alabama,AL,1089,0.391508280399,0.559336063158
Marengo,Alabama,AL,1091,0.512148337596,0.477164778955
Marion,Alabama,AL,1093,0.110904584882,0.8730638166050001
Marshall,Alabama,AL,1095,0.140511940512,0.835607035607
Mobile,Alabama,AL,1097,0.418815450434,0.557492334151
Monroe,Alabama,AL,1099,0.42317133038800003,0.566617574865
Montgomery,Alabama,AL,1101,0.620363321068,0.35875311931599996
Morgan,Alabama,AL,1103,0.224360384869,0.747974635434
Perry,Alabama,AL,1105,0.727497621313,0.26698382492899997
Pickens,Alabama,AL,1107,0.418369496524,0.574468085106
Pike,Alabama,AL,1109,0.38687140115199997,0.5897120921310001
Randolph,Alabama,AL,1111,0.22606120434399998,0.7598223099699999
Russell,Alabama,AL,1113,0.500470317726,0.48129180602
St. Clair,Alabama,AL,1115,0.146295173577,0.8324063579090001
Shelby,Alabama,AL,1117,0.231100314491,0.734275461656
Sumter,Alabama,AL,1119,0.7415115005480001,0.247379126897
Talladega,Alabama,AL,1121,0.364501174062,0.620025287495
Tallapoosa,Alabama,AL,1123,0.284857328145,0.700767401643
Tuscaloosa,Alabama,AL,1125,0.388529886914,0.583798404073
Walker,Alabama,AL,1127,0.153404233492,0.827822042882
Washington,Alabama,AL,1129,0.278615167216,0.710197833255
Wilcox,Alabama,AL,1131,0.7102543068089999,0.284987694832
Winston,Alabama,AL,1133,0.08493417844949999,0.899561189664
Juneau,Alaska,AK,2110,0.37715947248000004,0.528870018006
Apache,Arizona,AZ,4001,0.653625596227,0.284849134466
Cochise,Arizona,AZ,4003,0.35439312119000005,0.580248916495
Coconino,Arizona,AZ,4005,0.563288744463,0.36887088517399996
Gila,Arizona,AZ,4007,0.31526310870200003,0.638938218525
Graham,Arizona,AZ,4009,0.276488818159,0.672166848145
Greenlee,Arizona,AZ,4011,0.33672525439400003,0.583410422448
La Paz,Arizona,AZ,4012,0.26728858243799997,0.685662137497
Maricopa,Arizona,AZ,4013,0.45679712862800004,0.49126241540700005
Mohave,Arizona,AZ,4015,0.22220275243,0.736712989796
Navajo,Arizona,AZ,4017,0.43384450281000003,0.513005168178
Pima,Arizona,AZ,4019,0.542321530538,0.407523519661
Pinal,Arizona,AZ,4021,0.380971163584,0.5741378391340001
Santa Cruz,Arizona,AZ,4023,0.715797936487,0.244539729331
Yavapai,Arizona,AZ,4025,0.320165984048,0.634425522742
Yuma,Arizona,AZ,4027,0.449863833755,0.5050663657109999
Arkansas,Arkansas,AR,5001,0.314415437003,0.6202367439600001
Ashley,Arkansas,AR,5003,0.299987542046,0.6650056060790001
